ranking,name,producer,revenue,year
113,X-Men: Days of Future Past,Fox,"$233,921,534",2014
114,Cast Away,Fox,"$233,632,142",2000
115,The Exorcist,WB,"$232,906,145",1973^
116,The Lost World: Jurassic Park,Uni.,"$229,086,679",1997
117,Star Trek Into Darkness,Par.,"$228,778,661",2013
118,The Martian,Fox,"$228,006,339",2015
119,Signs,BV,"$227,966,634",2002
120,Hancock,Sony,"$227,946,274",2008
121,The Bourne Ultimatum,Uni.,"$227,471,070",2007
122,Rush Hour 2,NL,"$226,164,286",2001
123,WALL-E,BV,"$223,808,164",2008
124,Big Hero 6,BV,"$222,527,828",2014
125,National Treasure: Book of Secrets,BV,"$219,964,115",2007
126,Alvin and the Chipmunks: The Squeakquel,Fox,"$219,614,612",2009
127,Mrs. Doubtfire,Fox,"$219,195,243",1993
128,Beauty and the Beast,BV,"$218,967,620",1991^
129,Ted,Uni.,"$218,815,487",2012
130,King Kong,Uni.,"$218,080,025",2005
131,Ghost,Par.,"$217,631,306",1990
132,How to Train Your Dragon,P/DW,"$217,581,231",2010
133,The Da Vinci Code,Sony,"$217,536,138",2006
134,Aladdin,BV,"$217,350,219",1992
135,Alvin and the Chipmunks,Fox,"$217,326,974",2007
136,Saving Private Ryan,DW,"$216,540,909",1998
137,Madagascar 3: Europe's Most Wanted,P/DW,"$216,391,482",2012
138,Kung Fu Panda,P/DW,"$215,434,591",2008
139,Mission: Impossible II,Par.,"$215,409,889",2000
140,X2: X-Men United,Fox,"$214,949,694",2003
141,Dr. Seuss' The Lorax,Uni.,"$214,030,500",2012
142,Austin Powers in Goldmember,NL,"$213,307,889",2002
143,300,WB,"$210,614,939",2007
144,Back to the Future,Uni.,"$210,609,762",1985
145,Fast Five,Uni.,"$209,837,675",2011
146,Mission: Impossible - Ghost Protocol,Par.,"$209,397,903",2011
147,Wedding Crashers,NL,"$209,255,921",2005
148,Sherlock Holmes,WB,"$209,028,679",2009
149,Dawn of the Planet of the Apes,Fox,"$208,545,589",2014
150,Batman Begins,WB,"$206,852,432",2005^
151,Charlie and the Chocolate Factory,WB,"$206,459,076",2005
152,Ratatouille,BV,"$206,445,654",2007
153,Thor: The Dark World,BV,"$206,362,140",2013
154,Austin Powers: The Spy Who Shagged Me,NL,"$206,040,086",1999
155,Terminator 2: Judgment Day,TriS,"$204,843,345",1991
156,The Amazing Spider-Man 2,Sony,"$202,853,933",2014
157,World War Z,Par.,"$202,359,711",2013
158,The Mummy Returns,Uni.,"$202,019,785",2001
159,Armageddon,BV,"$201,578,182",1998
160,Cinderella (2015),BV,"$201,151,353",2015
161,Tangled,BV,"$200,821,936",2010
162,Godzilla (2014),WB,"$200,676,069",2014
163,Superman Returns,WB,"$200,081,192",2006
164,Spectre,Sony,"$199,549,144",2015
165,Gone with the Wind,MGM,"$198,676,459",1939^
166,Pearl Harbor,BV,"$198,542,554",2001
167,Monsters Vs. Aliens,P/DW,"$198,351,526",2009
168,Happy Feet,WB,"$198,000,317",2006
169,Indiana Jones and the Last Crusade,Par.,"$197,171,806",1989
170,Ice Age: Dawn of the Dinosaurs,Fox,"$196,573,705",2009
171,Ice Age: The Meltdown,Fox,"$195,330,621",2006
172,Mission: Impossible - Rogue Nation,Par.,"$195,042,377",2015
173,Madagascar,DW,"$193,595,521",2005
174,Twilight,Sum.,"$192,769,854",2008
175,Toy Story,BV,"$191,796,233",1995^
176,22 Jump Street,Sony,"$191,719,337",2014
177,Cars 2,BV,"$191,452,396",2011
178,Teenage Mutant Ninja Turtles (2014),Par.,"$191,204,754",2014
179,Men in Black II,Sony,"$190,418,803",2002
180,Wreck-It Ralph,BV,"$189,422,889",2012
181,Grease,Par.,"$188,755,690",1978^
182,Interstellar,Par.,"$188,020,017",2014
183,Gladiator,DW,"$187,705,427",2000
184,The Croods,Fox,"$187,168,425",2013
185,Sherlock Holmes: A Game of Shadows,WB,"$186,848,418",2011
186,The Day After Tomorrow,Fox,"$186,740,799",2004
187,Mr. & Mrs. Smith,Fox,"$186,336,279",2005
188,Snow White and the Seven Dwarfs,Dis.,"$184,925,486",1937^
189,Pitch Perfect 2,Uni.,"$184,296,230",2015
190,Dances with Wolves,Orion,"$184,208,848",1990
191,Batman Forever,WB,"$184,031,112",1995
192,The Fugitive,WB,"$183,875,760",1993
193,Ocean's Eleven,WB,"$183,417,150",2001
194,The Polar Express,WB,"$183,373,735",2004^
195,The Simpsons Movie,Fox,"$183,135,014",2007
196,What Women Want,Par.,"$182,811,707",2000
197,The Perfect Storm,WB,"$182,618,434",2000
198,Lincoln,BV,"$182,207,973",2012
199,Liar Liar,Uni.,"$181,410,615",1997
200,Jurassic Park III,Uni.,"$181,171,875",2001
201,Thor,Par.,"$181,030,624",2011
202,Mission: Impossible,Par.,"$180,981,856",1996
203,Ant-Man,BV,"$180,202,163",2015
204,Planet of the Apes (2001),Fox,"$180,011,740",2001
205,Madagascar: Escape 2 Africa,P/DW,"$180,010,950",2008
206,X-Men Origins: Wolverine,Fox,"$179,883,157",2009
207,Indiana Jones and the Temple of Doom,Par.,"$179,870,271",1984
208,Top Gun,Par.,"$179,800,601",1986^
209,Hitch,Sony,"$179,495,555",2005
210,MIB 3,Sony,"$179,020,854",2012
211,Pretty Woman,BV,"$178,406,268",1990
212,Home (2015),Fox,"$177,397,510",2015
213,Night at the Museum: Battle of the Smithsonian,Fox,"$177,243,721",2009
214,Tootsie,Col.,"$177,200,000",1982
215,How to Train Your Dragon 2,Fox,"$177,002,924",2014
216,Rise of the Planet of the Apes,Fox,"$176,760,185",2011
217,Captain America: The First Avenger,Par.,"$176,654,505",2011
218,The Karate Kid,Sony,"$176,591,618",2010
219,There's Something About Mary,Fox,"$176,484,651",1998
220,Ice Age,Fox,"$176,387,405",2002
221,The Bourne Supremacy,Uni.,"$176,241,941",2004
222,Crocodile Dundee,Par.,"$174,803,506",1986
223,Apollo 13,Uni.,"$173,837,933",1995^
224,Home Alone 2: Lost in New York,Fox,"$173,585,516",1992
225,Elf,NL,"$173,398,518",2003
226,National Treasure,BV,"$173,008,894",2004
227,Air Force One,Sony,"$172,956,409",1997
228,Rain Man,MGM,"$172,825,435",1988
229,Tron Legacy,BV,"$172,062,763",2010
230,The Matrix,WB,"$171,479,930",1999
231,True Grit,Par.,"$171,243,005",2010
232,Tarzan,BV,"$171,091,819",1999
233,A Beautiful Mind,Uni.,"$170,742,341",2001
234,Chicago,Mira.,"$170,687,518",2002
235,The Help,BV,"$169,708,112",2011
236,Hotel Transylvania 2,Sony,"$169,559,753",2015
237,Bridesmaids,Uni.,"$169,106,725",2011
238,Quantum of Solace,Sony,"$168,368,427",2008
