ranking,name,producer,revenue,year
4019,Sunshine Cleaning,Over.,"$12,062,558",2009
4020,The Last Stand,LGF,"$12,050,299",2013
4021,The Black Stallion Returns,MGM,"$12,049,108",1983
4022,Fatal Beauty,MGM,"$12,046,526",1987
4023,The Protector (2006),W/DD,"$12,044,087",2006
4024,Chasing Amy,Mira.,"$12,021,272",1997
4025,In Dreams,DW,"$12,017,369",1999
4026,The Gift,ParC,"$12,008,642",2000
4027,Big Night,Gold.,"$12,008,376",1996
4028,Blow Out,Film,"$12,000,000",1981
4029,Comin' at Ya!,Film,"$12,000,000",1981
4030,The Sword in the Stone (Re-issue),BV,"$12,000,000",1983
4031,The King and I (1999),WB,"$11,993,021",1999
4032,Zoom,SonR,"$11,989,328",2006
4033,Phantasm,AVCO,"$11,988,469",1979
4034,End of the Spear,RM,"$11,967,000",2006
4035,Sorority Row,Sum.,"$11,965,282",2009
4036,Brighton Beach Memoirs,Uni.,"$11,957,943",1986
4037,Firewalker,Can.,"$11,949,484",1986
4038,Deathstalker,NW,"$11,919,250",1983
4039,The Thirteenth Floor,Sony,"$11,916,661",1999
4040,The Darjeeling Limited,FoxS,"$11,902,715",2007
4041,Making Love,Fox,"$11,897,978",1982
4042,Sydney White,Uni.,"$11,892,415",2007
4043,Glee The 3D Concert Movie,Fox,"$11,862,398",2011
4044,Sliding Doors,Mira.,"$11,841,544",1998
4045,Tales from the Hood,Sav.,"$11,837,928",1995
4046,Alaska,Sony,"$11,829,959",1996
4047,The Cookout,Lions,"$11,814,019",2004
4048,Back Roads,WB,"$11,809,387",1981
4049,Bloodsport,Can.,"$11,806,119",1988
4050,Meet Dave,Fox,"$11,803,254",2008
4051,3 Ninjas Kick Back,TriS,"$11,798,854",1994
4052,Zelig,WB,"$11,798,616",1983
4053,Caddyshack II,WB,"$11,798,302",1988
4054,The Lords of Discipline,Par.,"$11,787,127",1983
4055,Strictly Ballroom,Mira.,"$11,738,022",1993
4056,Dave Chappelle's Block Party,Rog.,"$11,718,595",2006
4057,Knockaround Guys,NL,"$11,715,637",2002
4058,Used Cars,Col.,"$11,715,321",1980
4059,Up the Creek,Orion,"$11,708,269",1984
4060,Winged Migration,SPC,"$11,689,053",2003^
4061,The Adventures of Elmo in Grouchland,Sony,"$11,683,047",1999
4062,Gone,LG/S,"$11,682,205",2012
4063,Girl with a Pearl Earring,Lions,"$11,670,971",2003
4064,Surviving Christmas,DW,"$11,663,156",2004
4065,Rock-A-Doodle,Gold.,"$11,657,385",1992
4066,Carol,Wein.,"$11,653,856",2015
4067,Far From Home: The Adventures of Yellow Dog,Fox,"$11,642,946",1995
4068,Halloween 5,Gal.,"$11,642,254",1989
4069,The Muse,USA,"$11,614,954",1999
4070,The Last Kiss (2006),P/DW,"$11,614,790",2006
4071,The Promise,Uni.,"$11,606,005",1979
4072,Gross Anatomy,BV,"$11,604,598",1989
4073,Lifeforce,TriS,"$11,603,545",1985
4074,So I Married an Axe Murderer,TriS,"$11,585,483",1993
4075,Graveyard Shift,Par.,"$11,582,891",1990
4076,Wing Commander,Fox,"$11,578,059",1999
4077,Get Over It,Mira.,"$11,576,464",2001
4078,Henry & June,Uni.,"$11,567,449",1990
4079,Police Academy 6: City Under Siege,WB,"$11,567,217",1989
4080,The Other Side of the Mountain Part II,Uni.,"$11,565,678",1978
4081,The Legend of Drunken Master,Mira.,"$11,555,430",2000
4082,Pump Up the Volume,NL,"$11,541,758",1990
4083,Boys Don't Cry,FoxS,"$11,540,607",1999
4084,Turbulence,MGM,"$11,538,235",1997
4085,The Conspirator,RAtt.,"$11,538,204",2011
4086,The Longshots,MGM/W,"$11,537,046",2008
4087,Young Einstein,WB,"$11,536,599",1989
4088,Super Size Me,IDP,"$11,536,423",2004
4089,Fair Game (1995),WB,"$11,534,477",1995
4090,Just One of the Guys,Col.,"$11,528,900",1985
4091,Mulholland Falls,MGM,"$11,526,099",1996
4092,Shattered,MGM,"$11,511,031",1991
4093,Army of Darkness,Uni.,"$11,502,976",1993
4094,The Words,CBS,"$11,494,838",2012
4095,Thief,MGM,"$11,492,915",1981
4096,The River,Uni.,"$11,489,982",1984
4097,Das Boot,Col.,"$11,487,676",1982^
4098,The Beautician and the Beast,Par.,"$11,486,880",1997
4099,Something New,Focus,"$11,468,568",2006
4100,Material Girls,MGM,"$11,449,638",2006
4101,Moon Over Parador,Uni.,"$11,444,204",1988
4102,The Ref,BV,"$11,439,193",1994
4103,Double Team,Sony,"$11,438,337",1997
4104,The Shipping News,Mira.,"$11,434,216",2001
4105,The Powerpuff Girls Movie,WB,"$11,412,414",2002
4106,Cops and Robbersons,TriS,"$11,391,093",1994
4107,Jennifer 8,Par.,"$11,390,479",1992
4108,The Seduction,Emb,"$11,378,339",1982
4109,Thumbelina,WB,"$11,373,501",1994
4110,The Legacy,Uni.,"$11,364,985",1979
4111,Opportunity Knocks,Uni.,"$11,359,129",1990
4112,Balto,Uni.,"$11,348,324",1995
4113,Career Opportunities,Uni.,"$11,336,986",1991
4114,Manhattan Murder Mystery,TriS,"$11,330,911",1993
4115,Out of the Furnace,Rela.,"$11,330,849",2013
4116,Antitrust,MGM,"$11,328,094",2001
4117,Extreme Prejudice,TriS,"$11,307,844",1987
4118,Casanova,BV,"$11,304,403",2005
4119,Tank,Uni.,"$11,302,884",1984
4120,Ready to Wear,Mira.,"$11,300,653",1994
4121,Who's the Man?,NL,"$11,299,730",1993
4122,The Lives of Others,SPC,"$11,286,112",2007
4123,One Good Cop,BV,"$11,276,846",1991
4124,Lords of Dogtown,Sony,"$11,273,517",2005
4125,Chill Factor,WB,"$11,263,966",1999
4126,Brotherhood of the Wolf,Uni.,"$11,260,096",2002
4127,Cyberworld 3-D (IMAX),Imax,"$11,253,900",2000
4128,Bobby,MGM/W,"$11,242,801",2006
4129,Jane Eyre,Focus,"$11,242,660",2011
4130,The Smurfs and the Magic Flute,Atl,"$11,234,220",1983
4131,"The Adventures of Priscilla, Queen of the Desert",Gram.,"$11,220,670",1994
4132,Q & A,TriS,"$11,207,891",1990
4133,Deep Rising,BV,"$11,203,026",1998
4134,"Be Kind, Rewind",NL,"$11,175,164",2008
4135,For Love or Money,Uni.,"$11,146,270",1993
4136,Return to Oz,BV,"$11,137,801",1985
4137,2 Days in the Valley,MGM,"$11,132,210",1996
4138,Falling in Love,Par.,"$11,129,057",1984
4139,V.I. Warshawski,BV,"$11,128,309",1991
4140,Whispers in the Dark,Par.,"$11,124,511",1992
4141,Hard to Hold,Uni.,"$11,113,806",1984
4142,Big Trouble in Little China,Fox,"$11,100,000",1986
4143,Ragtime,Par.,"$11,099,118",1981
4144,Michael Collins,WB,"$11,092,559",1996
4145,Mad Dog and Glory,Uni.,"$11,081,586",1993
4146,My Family,NL,"$11,079,373",1995
4147,Wild Orchid,Triu,"$11,060,485",1990
4148,In the Land of Women,WB,"$11,052,958",2007
4149,Krush Groove,WB,"$11,052,713",1985
4150,House of Flying Daggers,SPC,"$11,050,094",2004
4151,Mrs. Henderson Presents,Wein.,"$11,036,366",2005
4152,The Wild Life,Uni.,"$11,020,375",1984
4153,Doomsday,Rog.,"$11,008,770",2008
4154,The Couch Trip,Lori,"$11,005,304",1988
4155,The Astronaut Farmer,WB,"$11,003,643",2007
4156,The Young Victoria,App.,"$11,001,272",2009
4157,The Super,Fox,"$11,000,863",1991
4158,The Mirror Crack'd,AFD,"$11,000,000",1980
4159,The Last Flight of Noah's Ark,BV,"$11,000,000",1980
4160,Hang 'em High,UA,"$11,000,000",1968
4161,"Give 'Em Hell, Harry!",N/A,"$11,000,000",1975
4162,Adrenaline Rush: The Science of Risk (IMAX),GSF,"$10,994,028",2002
4163,Who's Harry Crumb?,TriS,"$10,982,364",1989
4164,Dragon Wars,Free,"$10,977,721",2007
4165,The Man Who Loved Women,Col.,"$10,964,231",1983
4166,Moment by Moment,Uni.,"$10,963,824",1978
4167,Nuns on the Run,Fox,"$10,959,015",1990
4168,What the #$*! Do We Know?!,CLD,"$10,942,306",2004
4169,Leave It to Beaver,Uni.,"$10,925,060",1997
4170,Cookie's Fortune,Oct.,"$10,920,544",1999
4171,Stop-Loss,Par.,"$10,915,744",2008
4172,The Englishman Who Went Up a Hill But Came Down a Mountain,Mira.,"$10,904,930",1995
4173,Dead Man Down,FD,"$10,895,295",2013
4174,The Pink Panther (1964),UA,"$10,878,107",1964
4175,Narrow Margin,TriS,"$10,873,237",1990
4176,Victory,Par.,"$10,853,418",1981
4177,Rollover,WB,"$10,851,261",1981
4178,The End of the Affair,Sony,"$10,827,816",1999
4179,Office Space,Fox,"$10,827,810",1999
4180,Extract,Mira.,"$10,823,158",2009
4181,Moving,WB,"$10,815,378",1988
4182,Gotcha!,Uni.,"$10,806,919",1985
4183,Dracula: Dead and Loving It,Sony,"$10,772,144",1995
4184,Gettysburg,NL,"$10,769,960",1993
4185,New York Stories,BV,"$10,763,469",1989
4186,Missing in Action II: The Beginning,Can.,"$10,755,447",1985
4187,Stay Tuned,WB,"$10,736,401",1992
4188,Abandon,Par.,"$10,727,683",2002
4189,Belle,FoxS,"$10,726,630",2014
4190,Glengarry Glen Ross,NL,"$10,725,228",1992
4191,The Drop,FoxS,"$10,724,389",2014
4192,Drive Angry,Sum.,"$10,721,033",2011
4193,The Fiendish Plot of Dr. Fu Manchu,WB,"$10,697,276",1980
4194,Robocop 3,Orion,"$10,696,210",1993
4195,Deconstructing Harry,FL,"$10,686,841",1997
4196,Fear and Loathing in Las Vegas,Uni.,"$10,680,275",1998
4197,Hercules (1983),MGM,"$10,676,194",1983
4198,The Astronaut's Wife,NL,"$10,672,566",1999
4199,Universal Soldier: The Return,Sony,"$10,667,893",1999
4200,The Gunman,ORF,"$10,664,749",2015
4201,Island of the Sharks (IMAX),Imax,"$10,658,505",1999
4202,Two If by Sea,WB,"$10,658,278",1996
4203,The Package,Orion,"$10,647,219",1989
4204,The Purple Rose of Cairo,Orion,"$10,631,333",1985
4205,Moving Violations,Fox,"$10,627,754",1985
4206,Wolfen,WB,"$10,626,725",1981
4207,P.K.,UTV,"$10,616,104",2014
4208,The Dark Half,Orion,"$10,611,160",1993
4209,After Hours,WB,"$10,609,321",1985
4210,The House on Sorority Row,FVI,"$10,604,986",1983
4211,Broadway Danny Rose,Orion,"$10,600,497",1984
4212,Play Misty for Me,Uni.,"$10,600,000",1971
4213,Beautiful Girls,Mira.,"$10,597,759",1996
4214,Primeval,BV,"$10,597,734",2007
4215,Not Easily Broken,SGem,"$10,572,742",2009
4216,Drop Dead Gorgeous,NL,"$10,571,408",1999
4217,Three to Tango,WB,"$10,570,375",1999
4218,Husbands and Wives,TriS,"$10,555,619",1992
4219,We're No Angels,Par.,"$10,555,348",1989
4220,Jonah Hex,WB,"$10,547,117",2010
4221,Mad City,WB,"$10,541,523",1997
4222,Magic in the Moonlight,SPC,"$10,539,326",2014
4223,Where the Boys Are (1984),TriS,"$10,530,000",1984
4224,Scoop,Focus,"$10,525,717",2006
4225,Here on Earth,Fox,"$10,522,168",2000
4226,Sabotage (2014),ORF,"$10,508,518",2014
4227,Getaway (2013),WB,"$10,501,938",2013
4228,American Ninja,Can.,"$10,499,694",1985
4229,Island of Lemurs: Madagascar (IMAX),WB,"$10,498,084",2014
4230,Iron Eagle II,TriS,"$10,497,324",1988
4231,Silent Rage,Col.,"$10,490,791",1982
4232,Light of Day,TriS,"$10,489,617",1987
4233,Camp Nowhere,BV,"$10,475,705",1994
4234,The Danish Girl,Focus,"$10,474,359",2015
4235,Room,A24,"$10,470,383",2015
4236,Narc,Par.,"$10,465,659",2002
4237,Home Fries,WB,"$10,459,961",1998
4238,The Newton Boys,Fox,"$10,452,012",1998
4239,A Rage in Harlem,Mira.,"$10,438,504",1991
4240,Thief of Hearts,Par.,"$10,435,015",1984
4241,Interiors,UA,"$10,432,366",1978
4242,Moms' Night Out,TriS,"$10,429,707",2014
4243,The Brothers McMullen,FoxS,"$10,426,506",1995
4244,I'll Do Anything,Col.,"$10,424,645",1994
4245,Head Over Heels,Uni.,"$10,424,470",2001
4246,Savannah Smiles,Emb,"$10,413,170",1982
4247,Raise Your Voice,NL,"$10,411,980",2004
4248,Roving Mars (IMAX),BV,"$10,407,978",2006
4249,Operation Condor,Mira.,"$10,405,394",1997
4250,Fiddler on the Roof,UA,"$10,404,330",1971^
4251,The Perfect Score,Par.,"$10,391,003",2004
4252,Stardust Memories,UA,"$10,389,003",1980
4253,The Scarlet Letter,BV,"$10,382,407",1995
4254,Doctor Detroit,Uni.,"$10,375,893",1983
4255,Deal of the Century,WB,"$10,369,581",1983
4256,U2 3D,NGE,"$10,363,341",2008
4257,The Witches,WB,"$10,360,553",1990
4258,The Man with Two Brains,WB,"$10,353,438",1983
4259,Disorderlies,WB,"$10,348,437",1987
4260,Look Who's Talking Now,TriS,"$10,340,263",1993
4261,Pandorum,Over.,"$10,330,853",2009
4262,Straw Dogs (2011),SGem,"$10,324,441",2011
4263,Knock Off,Sony,"$10,319,915",1998
4264,I Got the Hook-Up!,Mira.,"$10,317,779",1998
4265,La Vie en Rose,PicH,"$10,301,706",2007
4266,Better Off Dead,WB,"$10,297,601",1985
4267,White Squall,BV,"$10,292,300",1996
4268,Shopgirl,BV,"$10,284,523",2005
4269,The Year of Living Dangerously,WB,"$10,278,575",1983
4270,Someone to Watch Over Me,Col.,"$10,278,549",1987
4271,Whiteout,WB,"$10,275,638",2009
4272,The Boondock Saints II: All Saints Day,App.,"$10,273,188",2009
4273,Santa Vs. the Snowman (IMAX),Imax,"$10,259,134",2002^
4274,Kinsey,FoxS,"$10,254,979",2004
4275,House of the Dead,Art.,"$10,249,719",2003
4276,Pathfinder: Legend of the Ghost Warrior,Fox,"$10,232,081",2007
4277,Air Bud: Golden Receiver,Mira.,"$10,224,116",1998
4278,In the Mix,Lions,"$10,223,896",2005
4279,Unfinished Business,Fox,"$10,219,501",2015
4280,Brainstorm,MGM,"$10,219,460",1983
4281,Sorority Boys,BV,"$10,200,032",2002
4282,The Intouchables (U.S.-only),Wein.,"$10,198,820",2012
4283,You So Crazy,Gold.,"$10,184,701",1994
4284,Win Win,FoxS,"$10,179,275",2011
4285,Lost in America,WB,"$10,179,000",1985
4286,Facing the Giants,IDP,"$10,178,331",2006
4287,Lovesick,WB,"$10,171,304",1983
4288,Domino,NL,"$10,169,202",2005
4289,The Great Raid,Mira.,"$10,167,373",2005
4290,Cyborg,Can.,"$10,166,459",1989
4291,Sunset Park,Sony,"$10,163,782",1996
4292,Henry V,Gold.,"$10,161,099",1989
4293,Bats,Dest.,"$10,155,690",1999
4294,The Fountain,WB,"$10,144,010",2006
4295,Hoodwinked Too! Hood vs. Evil,Wein.,"$10,143,779",2011
4296,The Walk,TriS,"$10,137,502",2015
4297,Prom,BV,"$10,130,219",2011
4298,Swimming Pool,Focus,"$10,130,108",2003
4299,A Family Thing,MGM,"$10,125,417",1996
4300,Brokedown Palace,Fox,"$10,115,013",1999
4301,Possession (2002),Focus,"$10,113,733",2002
4302,Buddy,Sony,"$10,113,400",1997
4303,The Wash,Lions,"$10,097,538",2001
4304,The Girl with the Dragon Tattoo,MBox,"$10,095,170",2010
4305,Under the Cherry Moon,WB,"$10,090,429",1986
4306,Pulse: A Stomp Odyssey (IMAX),GSF,"$10,086,514",2002
4307,Mrs. Winterbourne,Sony,"$10,082,005",1996
4308,Shakedown,Uni.,"$10,068,039",1988
4309,Boiling Point,WB,"$10,058,318",1993
4310,Spirited Away,BV,"$10,055,859",2002
4311,National Lampoon's Class Reunion,Fox,"$10,054,150",1982
4312,Cry Wolf,Rog.,"$10,047,674",2005
4313,Lucky Numbers,Par.,"$10,042,516",2000
4314,Godzilla 2000,Sony,"$10,037,390",2000
4315,What's Eating Gilbert Grape,Par.,"$10,032,765",1993
4316,Next Day Air,Sum.,"$10,027,047",2009
4317,Dirty Work,MGM,"$10,023,282",1998
4318,Hope and Glory,Col.,"$10,021,120",1987
4319,Cutthroat Island,MGM,"$10,017,322",1995
4320,A Little Princess,WB,"$10,015,449",1995
4321,Penelope,Sum.,"$10,011,996",2008
4322,BRATZ,LGF,"$10,010,209",2007
4323,The Unbearable Lightness of Being,Orion,"$10,006,806",1988
4324,The Two Jakes,Par.,"$10,005,969",1990
4325,Terror in the Aisles,Uni.,"$10,004,817",1984
4326,Once Bitten,Gold.,"$10,000,000",1985
4327,The Hollywood Knights,Col.,"$10,000,000",1980
4328,Nashville,Par.,"$9,984,123",1975
4329,Lassie,Par.,"$9,979,683",1994
4330,Criminal Law,Hemd,"$9,974,446",1989
4331,Dudley Do-Right,Uni.,"$9,974,410",1999
4332,Murphy's Law,Can.,"$9,947,631",1986
4333,Brazil,Uni.,"$9,929,135",1985
4334,Immortal Beloved,Sony,"$9,914,409",1994
4335,Straight Time,WB,"$9,900,000",1978
4336,Very Bad Things,Poly,"$9,898,412",1998
4337,The Onion Field,AVCO,"$9,890,597",1979
4338,Night Falls on Manhattan,Par.,"$9,889,670",1997
4339,Miami Blues,Orion,"$9,888,167",1990
4340,Explorers,Par.,"$9,873,044",1985
4341,Dunston Checks In,Fox,"$9,871,065",1996
4342,Serial,Par.,"$9,870,727",1980
4343,Maid to Order,NCeV,"$9,868,521",1987
4344,Jade,Par.,"$9,851,610",1995
4345,La Grande Seduction,Ode.,"$9,844,180",2003^
4346,3 Strikes,MGM,"$9,832,166",2000
4347,Hanky Panky,Col.,"$9,823,934",1982
4348,"He Said, She Said",Par.,"$9,804,775",1991
4349,Bad Dreams,Fox,"$9,797,098",1988
4350,The Express,Uni.,"$9,793,406",2008
4351,The Swan Princess,NL,"$9,771,658",1994
4352,Everyone Says I Love You,Mira.,"$9,759,200",1996
4353,The Hidden,NL,"$9,747,988",1987
4354,Amos & Andrew,Col.,"$9,745,803",1993
4355,Rendition,NL,"$9,736,045",2007
4356,Cloak and Dagger,Uni.,"$9,719,952",1984
4357,Somewhere in Time,Uni.,"$9,709,597",1980
4358,Flesh and Bone,Par.,"$9,709,451",1993
4359,The Journey of Natty Gann,BV,"$9,708,373",1985
4360,Blue Valentine,Wein.,"$9,706,328",2010
4361,Space Camp,Fox,"$9,697,739",1986
4362,Duplex,Mira.,"$9,692,135",2003
4363,The Butcher's Wife,Par.,"$9,689,816",1991
4364,Simone,NL,"$9,688,676",2002
4365,The Baby-Sitters Club,Sony,"$9,685,976",1995
4366,I Don't Know How She Does It,Wein.,"$9,662,284",2011
4367,Country,BV,"$9,640,000",1984
4368,Belly,Art.,"$9,639,390",1998
4369,Without a Trace,Fox,"$9,632,062",1983
4370,Digimon: The Movie,Fox,"$9,631,153",2000
4371,Wrongfully Accused,WB,"$9,623,329",1998
4372,Comes a Horseman,MGM,"$9,585,769",1978
4373,The Spanish Prisoner,SPC,"$9,584,314",1998
4374,Carbon Copy,Emb,"$9,566,593",1981
4375,Scenes From a Mall,BV,"$9,563,393",1991
4376,Fair Game (2010),Sum.,"$9,540,691",2010
4377,She's the One,FoxS,"$9,538,948",1996
4378,Death Sentence,Fox,"$9,534,258",2007
4379,Matinee,Uni.,"$9,532,895",1993
4380,From the Hip,DEG,"$9,518,342",1987
4381,Smart People,Mira.,"$9,511,289",2008
4382,Shall We Dance?,Mira.,"$9,499,091",1997
4383,The Red Violin,Lions,"$9,495,408",1998
4384,Chaplin,TriS,"$9,493,259",1992
4385,Bullet to the Head,WB,"$9,489,829",2013
4386,Guilty by Suspicion,WB,"$9,480,198",1991
4387,Away We Go,Focus,"$9,451,946",2009
4388,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Col.,"$9,440,272",1964^
4389,Once,FoxS,"$9,439,923",2007
4390,Sleepover,MGM,"$9,436,390",2004
4391,The Visitor,Over.,"$9,427,089",2008
4392,Village of the Damned,Uni.,"$9,418,365",1995
4393,Fun Size,Par.,"$9,409,538",2012
4394,Angie,BV,"$9,398,308",1994
4395,Black Snake Moan,ParV,"$9,396,870",2007
4396,Fierce Creatures,Uni.,"$9,381,260",1997
4397,Tuff Turf,Orion,"$9,369,329",1985
4398,Dragonball Evolution,Fox,"$9,362,785",2009
4399,The Frisco Kid,WB,"$9,346,177",1979
4400,Hellraiser 4: Bloodline,Mira.,"$9,336,886",1996
4401,We're Back! A Dinosaur's Story,Uni.,"$9,317,021",1993
4402,Bobby Deerfield,Col.,"$9,300,000",1977
4403,Talk to Her,SPC,"$9,285,469",2002
4404,Lost in Yonkers,Col.,"$9,285,189",1993
4405,Ringmaster,Art.,"$9,257,103",1998
4406,Celtic Pride,BV,"$9,255,027",1996
4407,Dark Blue,UA,"$9,250,301",2003
4408,Havana,Uni.,"$9,243,140",1990
4409,Mrs. Brown,Mira.,"$9,229,808",1997
4410,A Serious Man,Focus,"$9,228,768",2009
4411,Gladiator (1992),Col.,"$9,223,441",1992
4412,Super Babies: Baby Geniuses 2,Triu,"$9,219,388",2004
4413,Shoot the Moon,MGM,"$9,217,530",1982
4414,Everybody's Fine,Mira.,"$9,208,876",2009
4415,Bernie,MNE,"$9,206,470",2012
4416,Return of the Living Dead 2,Lori,"$9,205,924",1988
4417,Bad Boys (1983),Uni.,"$9,190,819",1983
4418,Body Parts,Par.,"$9,188,150",1991
4419,The Four Horsemen of the Apocalypse,MPC,"$9,183,673",1921
4420,You Can Count on Me,ParC,"$9,183,362",2000
4421,Tyler Perry Presents Peeples,LGF,"$9,177,065",2013
4422,Get Low,SPC,"$9,176,933",2010
4423,A Mighty Heart,ParV,"$9,176,787",2007
4424,A Single Man,Wein.,"$9,176,000",2009
4425,Pennies From Heaven,MGM,"$9,171,289",1981
4426,Ulee's Gold,MGM,"$9,161,691",1997
4427,Stone Cold,Col.,"$9,151,887",1991
4428,Switching Channels,TriS,"$9,129,999",1988
4429,Tap,TriS,"$9,114,702",1989
4430,Warlock,Trim.,"$9,094,451",1991
4431,Sweet Dreams,TriS,"$9,085,049",1985
4432,Le Divorce,FoxS,"$9,081,057",2003
4433,Un Gallo con Muchos Huevos,LGF,"$9,080,818",2015
4434,A Midsummer Night's Sex Comedy,WB,"$9,077,269",1982
4435,Trail of the Pink Panther,MGM,"$9,056,073",1982
4436,First Daughter,Fox,"$9,055,921",2004
4437,Salmon Fishing in the Yemen,CBS,"$9,047,981",2012
4438,The Boy in the Striped Pajamas,Mira.,"$9,046,156",2008
4439,Conquest of the Planet of the Apes,Fox,"$9,043,472",1972
4440,Target,WB,"$9,023,199",1985
4441,Trippin',Oct.,"$9,017,070",1999
4442,The Ice Harvest,Focus,"$9,016,782",2005
4443,Transamerica,Wein.,"$9,015,303",2005
4444,Renegades,Uni.,"$9,015,164",1989
4445,White Sands,WB,"$9,011,574",1992
4446,Tribute,Fox,"$9,000,000",1980
4447,Saturn 3,AFD,"$9,000,000",1980
4448,Deadly Friend,WB,"$8,988,731",1986
4449,Aliens of the Deep (IMAX),BV,"$8,968,684",2005
4450,Alien Adventure (IMAX),NWav,"$8,959,784",1999
4451,Teaching Mrs. Tingle,Mira.,"$8,951,935",1999
4452,Saved!,UA,"$8,940,582",2004
4453,In the Mouth of Madness,NL,"$8,924,549",1995
4454,Bolero,Can.,"$8,914,881",1984
4455,The Next Karate Kid,Col.,"$8,914,777",1994
4456,Late for Dinner,Col.,"$8,906,823",1991
4457,The Formula,MGM,"$8,894,289",1980
4458,Salsa - The Motion Picture,Can.,"$8,892,589",1988
4459,"Mystery, Alaska",BV,"$8,891,623",1999
4460,Battle of the Year,SGem,"$8,888,355",2013
4461,The Inkwell,BV,"$8,880,705",1994
4462,White Fang II: Myth of the White Wolf,BV,"$8,878,839",1994
4463,Apt Pupil,Sony,"$8,863,193",1998
4464,Nightbreed,Fox,"$8,862,354",1990
4465,Battle for the Planet of the Apes,Fox,"$8,844,595",1973
4466,Movie 43,Rela.,"$8,840,453",2013
4467,The Deep End,FoxS,"$8,823,109",2001
4468,Body Double,Col.,"$8,801,940",1984
4469,Scandal,Mira.,"$8,800,000",1989
4470,Before and After,BV,"$8,797,839",1996
4471,The Seeker: The Dark Is Rising,Fox,"$8,794,452",2007
4472,Oxford Blues,MGM,"$8,793,152",1984
4473,The Five Heartbeats,Fox,"$8,750,400",1991
4474,Mad Max,Film,"$8,750,000",1980
4475,Whatever It Takes,Sony,"$8,745,680",2000
4476,True Believer,Col.,"$8,742,750",1989
4477,Street Fighter: The Legend of Chun-Li,Fox,"$8,742,261",2009
4478,Suspect Zero,Par.,"$8,725,813",2004
4479,John Carpenter's Ghosts of Mars,SGem,"$8,709,640",2001
4480,If You Could See What I Hear,JenF,"$8,693,512",1982
4481,Mischief,Fox,"$8,692,426",1985
4482,Clean and Sober,WB,"$8,674,093",1988
4483,Once Upon a Crime,MGM,"$8,669,847",1992
4484,Bingo,TriS,"$8,667,684",1991
4485,My Life in Ruins,FoxS,"$8,665,206",2009
4486,The Puppet Masters,BV,"$8,647,042",1994
4487,The Man with One Red Shoe,Fox,"$8,645,411",1985
4488,That Was Then... This Is Now,Par.,"$8,630,068",1985
4489,Secret Admirer,Orion,"$8,622,757",1985
4490,Manhunter,DEG,"$8,620,929",1986
4491,All Dogs Go to Heaven 2,MGM,"$8,620,678",1996
4492,The Bounty,Orion,"$8,613,462",1984
4493,U2: Rattle and Hum,Par.,"$8,600,823",1988
4494,Boat Trip,Art.,"$8,600,126",2003
4495,Pollock,SPC,"$8,598,593",2000
4496,An Unfinished Life,Mira.,"$8,586,392",2005
4497,Death at a Funeral (2007),MGM,"$8,580,428",2007
4498,High Spirits,TriS,"$8,578,231",1988
4499,Strange Brew,MGM,"$8,571,374",1983
4500,Leprechaun,Trim.,"$8,556,940",1993
4501,Blue Velvet,DEG,"$8,551,228",1986
4502,Les Invasions Barbares,All.,"$8,544,975",2003^
4503,The Rich Man's Wife,BV,"$8,543,587",1996
4504,The Care Bears Movie 2,Col.,"$8,540,346",1986
4505,Without a Clue,Orion,"$8,539,181",1988
4506,Ski Patrol,Triu,"$8,533,973",1990
4507,The Big Brawl,WB,"$8,527,743",1980
4508,MacGruber,Uni.,"$8,525,600",2010
4509,The Quiet Ones,LGF,"$8,509,867",2014
4510,Troop Beverly Hills,Col.,"$8,508,843",1989
4511,Stick,Uni.,"$8,489,518",1985
4512,Nothing But Trouble,WB,"$8,479,793",1991
4513,Wise Guys,MGM,"$8,475,466",1986
4514,Legends of Oz: Dorothy's Return,CE,"$8,462,027",2014
4515,Tender Mercies,Uni.,"$8,443,124",1983
4516,Bebe's Kids,Par.,"$8,442,162",1992
4517,Play It to the Bone,BV,"$8,434,146",1999
4518,1984,Gold.,"$8,430,492",1984
4519,The Awakening,WB,"$8,415,112",1980
4520,Amy,A24,"$8,413,144",2015
4521,Pushing Tin,Fox,"$8,408,835",1999
4522,Dr. Giggles,Uni.,"$8,403,433",1992
4523,Sex Drive,Sum.,"$8,402,485",2008
4524,Twice in a Lifetime,Bud,"$8,402,424",1985
4525,Meteor,AIP,"$8,400,000",1979
4526,Something Wicked This Way Comes,BV,"$8,400,000",1983
4527,The Importance of Being Earnest,Mira.,"$8,384,929",2002
4528,The Last Temptation of Christ,Uni.,"$8,373,585",1988
4529,Smoke,Mira.,"$8,367,636",1995
4530,Death to Smoochy,WB,"$8,364,691",2002
4531,Turbo: A Power Rangers Movie,Fox,"$8,363,899",1997
4532,Something Wild,Orion,"$8,362,969",1986
4533,Twin Dragons,Mira.,"$8,359,717",1999
4534,Mr. Jones,TriS,"$8,345,845",1993
4535,My Life as a Dog,Skou,"$8,345,266",1987
4536,A Simple Wish,Uni.,"$8,345,056",1997
4537,Return to Paradise,Poly,"$8,341,087",1998
4538,Tenacious D in: The Pick of Destiny,NL,"$8,334,575",2006
4539,The Man,NL,"$8,330,720",2005
4540,Lipstick,Par.,"$8,328,666",1976
4541,Mandela: Long Walk to Freedom,Wein.,"$8,323,085",2013
